revdisp;sali;sali0;sali1;irpp
7778.2421875;0;0.0;0.0;0.0
8026.09667969;401;401.606425703;0.0;0.0
8274.56933594;803;803.212851406;0.0;0.0
8522.42382812;1204;1204.81927711;0.0;0.0
8770.89648438;1606;1606.42570281;0.0;0.0
9019.36914062;2008;2008.03212851;0.0;0.0
9267.22363281;2409;2409.63855422;0.0;0.0
9515.6953125;2811;2811.24497992;0.0;0.0
9763.54980469;3212;3212.85140562;0.0;0.0
10012.0224609;3614;3614.45783133;0.0;0.0
10260.4951172;4016;4016.06425703;0.0;0.0
10508.3496094;4417;4417.67068273;0.0;0.0
10756.8222656;4819;4819.27710843;0.0;0.0
11004.6767578;5220;5220.88353414;0.0;0.0
11253.1494141;5622;5622.48995984;0.0;0.0
11501.6220703;6024;6024.09638554;0.0;0.0
11749.4765625;6425;6425.70281124;0.0;0.0
11997.9492188;6827;6827.30923695;0.0;0.0
12245.8027344;7228;7228.91566265;0.0;0.0
12494.2753906;7630;7630.52208835;0.0;0.0
12742.7480469;8032;8032.12851406;0.0;0.0
12990.6015625;8433;8433.73493976;0.0;0.0
13239.0751953;8835;8835.34136546;0.0;0.0
13486.9296875;9236;9236.94779116;0.0;0.0
13735.4023438;9638;9638.55421687;0.0;0.0
13983.875;10040;10040.1606426;0.0;0.0
14231.7285156;10441;10441.7670683;0.0;0.0
14480.2011719;10843;10843.373494;0.0;0.0
14728.0566406;11244;11244.9799197;0.0;0.0
14976.5292969;11646;11646.5863454;0.0;0.0
15225.0019531;12048;12048.1927711;0.0;0.0
15472.8554688;12449;12449.7991968;0.0;0.0
15721.328125;12851;12851.4056225;0.0;0.0
15969.8007812;13253;13253.0120482;0.0;0.0
16177.7128906;13654;13654.6184739;0.0;-39.9409484863
16350.4257812;14056;14056.2248996;0.0;-115.700958252
16522.7304688;14457;14457.8313253;0.0;-191.251495361
16695.4433594;14859;14859.437751;0.0;-267.011657715
16868.15625;15261;15261.0441767;0.0;-342.772094727
17040.4609375;15662;15662.6506024;0.0;-418.322418213
17213.1738281;16064;16064.2570281;0.0;-494.082580566
17385.4746094;16465;16465.8634538;0.0;-569.633178711
17558.3964844;16867;16867.4698795;0.0;-645.183105469
17731.109375;17269;17269.0763052;0.0;-720.943115234
17903.4140625;17670;17670.6827309;0.0;-796.493896484
18076.1269531;18072;18072.2891566;0.0;-872.254272461
18248.4316406;18473;18473.8955823;0.0;-947.80456543
18423.6660156;18875;18875.502008;0.0;-1021.04333496
18621.6308594;19277;19277.1084337;0.0;-1071.54992676
18819.1171875;19678;19678.7148594;0.0;-1121.91711426
18845.7460938;20080;20080.3212851;0.0;-1172.42382812
19195.1445312;20481;20481.9277108;0.0;-1222.79101562
19545.3984375;20883;20883.5341365;0.0;-1273.29736328
19895.6542969;21285;21285.1405622;0.0;-1323.80419922
20245.0527344;21686;21686.746988;0.0;-1374.17138672
20595.3085938;22088;22088.3534137;0.0;-1424.67810059
20944.7070312;22489;22489.9598394;0.0;-1475.04528809
21294.9609375;22891;22891.5662651;0.0;-1525.55187988
21645.21875;23293;23293.1726908;0.0;-1576.05883789
21994.6152344;23694;23694.7791165;0.0;-1626.42578125
22344.8710938;24096;24096.3855422;0.0;-1676.93261719
22694.2695312;24497;24497.9919679;0.0;-1727.29956055
23044.5234375;24899;24899.5983936;0.0;-1777.80615234
23394.7792969;25301;25301.2048193;0.0;-1828.31286621
23744.1777344;25702;25702.811245;0.0;-1878.68005371
24094.4316406;26104;26104.4176707;0.0;-1929.18664551
24444.6894531;26506;26506.0240964;0.0;-1979.69360352
24794.0859375;26907;26907.6305221;0.0;-2030.06054688
25144.34375;27309;27309.2369478;0.0;-2080.56738281
25493.7402344;27710;27710.8433735;0.0;-2130.93432617
25844.1367188;28112;28112.4497992;0.0;-2181.30126953
26194.390625;28514;28514.0562249;0.0;-2231.80786133
26543.7890625;28915;28915.6626506;0.0;-2282.17504883
26894.0449219;29317;29317.2690763;0.0;-2332.68164062
27238.2441406;29718;29718.875502;0.0;-2388.24755859
27530.0273438;30120;30120.4819277;0.0;-2496.15454102
27817.0820312;30522;30522.0883534;0.0;-2602.46411133
28109.1054688;30923;30923.6947791;0.0;-2710.47412109
28401.8261719;31325;31325.3012048;0.0;-2818.78271484
28693.8476562;31726;31726.9076305;0.0;-2926.79223633
28986.5703125;32128;32128.5140562;0.0;-3035.1015625
29279.2910156;32530;32530.1204819;0.0;-3143.41040039
29571.3085938;32931;32931.7269076;0.0;-3251.41796875
29864.03125;33333;33333.3333333;0.0;-3359.72729492
30156.0546875;33734;33734.939759;0.0;-3467.73779297
30448.7734375;34136;34136.5461847;0.0;-3576.04614258
30741.796875;34538;34538.1526104;0.0;-3684.05541992
31033.8183594;34939;34939.7590361;0.0;-3792.06494141
31326.5390625;35341;35341.3654618;0.0;-3900.37426758
31618.5585938;35742;35742.9718876;0.0;-4008.38232422
31911.2832031;36144;36144.5783133;0.0;-4116.69287109
32204.0039062;36546;36546.184739;0.0;-4225.00097656
32496.0234375;36947;36947.7911647;0.0;-4333.01074219
32788.7421875;37349;37349.3975904;0.0;-4441.31884766
33081.4648438;37751;37751.0040161;0.0;-4549.62792969
33373.4882812;38152;38152.6104418;0.0;-4657.63769531
33666.2109375;38554;38554.2168675;0.0;-4765.94677734
33958.2304688;38955;38955.8232932;0.0;-4873.95605469
34250.953125;39357;39357.4297189;0.0;-4982.265625
34543.6757812;39759;39759.0361446;0.0;-5090.57519531
34835.6953125;40160;40160.6425703;0.0;-5198.58300781
35128.7148438;40562;40562.248996;0.0;-5306.59130859
35420.7382812;40963;40963.8554217;0.0;-5414.60205078
35713.4570312;41365;41365.4618474;0.0;-5522.91015625
36006.1757812;41767;41767.0682731;0.0;-5631.21826172
36298.1992188;42168;42168.6746988;0.0;-5739.22900391
36590.921875;42570;42570.2811245;0.0;-5847.53710938
36882.9453125;42971;42971.8875502;0.0;-5955.54785156
37175.6679688;43373;43373.4939759;0.0;-6063.85693359
37468.3867188;43775;43775.1004016;0.0;-6172.16503906
37760.40625;44176;44176.7068273;0.0;-6280.17480469
38053.125;44578;44578.313253;0.0;-6388.48291016
38345.1523438;44979;44979.9196787;0.0;-6496.49316406
38637.8710938;45381;45381.5261044;0.0;-6604.80175781
38930.59375;45783;45783.1325301;0.0;-6713.11083984
39222.6132812;46184;46184.7389558;0.0;-6821.12011719
39515.3359375;46586;46586.3453815;0.0;-6929.4296875
39807.3554688;46987;46987.9518072;0.0;-7037.43798828
40100.3789062;47389;47389.5582329;0.0;-7145.44824219
40393.0976562;47791;47791.1646586;0.0;-7253.75683594
40685.1210938;48192;48192.7710843;0.0;-7361.76611328
40977.8398438;48594;48594.37751;0.0;-7470.07421875
41269.8632812;48995;48995.9839357;0.0;-7578.08496094
41562.5820312;49397;49397.5903614;0.0;-7686.39306641
41855.3046875;49799;49799.1967871;0.0;-7794.70117188
42147.328125;50200;50200.8032129;0.0;-7902.71191406
42440.046875;50602;50602.4096386;0.0;-8011.02001953
42732.7695312;51004;51004.0160643;0.0;-8119.32910156
43024.7890625;51405;51405.62249;0.0;-8227.33789062
43317.5117188;51807;51807.2289157;0.0;-8335.6484375
43609.53125;52208;52208.8353414;0.0;-8443.65625
43902.2539062;52610;52610.4417671;0.0;-8551.96582031
44195.2734375;53012;53012.0481928;0.0;-8659.97363281
44487.296875;53413;53413.6546185;0.0;-8767.984375
44780.0195312;53815;53815.2610442;0.0;-8876.29394531
45072.0390625;54216;54216.8674699;0.0;-8984.30273438
45364.7578125;54618;54618.4738956;0.0;-9092.61035156
45657.4804688;55020;55020.0803213;0.0;-9200.92089844
45949.5039062;55421;55421.686747;0.0;-9308.9296875
46242.21875;55823;55823.2931727;0.0;-9417.23730469
46534.2421875;56224;56224.8995984;0.0;-9525.24804688
46826.96875;56626;56626.5060241;0.0;-9633.55664062
47119.6875;57028;57028.1124498;0.0;-9741.86621094
47411.7109375;57429;57429.7188755;0.0;-9849.87597656
47704.4296875;57831;57831.3253012;0.0;-9958.18359375
47996.453125;58232;58232.9317269;0.0;-10066.1943359
48289.171875;58634;58634.5381526;0.0;-10174.5019531
