revdisp;sali;sali0;sali1;irpp
6278.2421875;0;0.0;0.0;-1500.0
6526.09667969;401;401.606425703;0.0;-1500.0
6774.56933594;803;803.212851406;0.0;-1500.0
7022.42382812;1204;1204.81927711;0.0;-1500.0
7270.89648438;1606;1606.42570281;0.0;-1500.0
7519.36914062;2008;2008.03212851;0.0;-1500.0
7767.22363281;2409;2409.63855422;0.0;-1500.0
8015.6953125;2811;2811.24497992;0.0;-1500.0
8263.54980469;3212;3212.85140562;0.0;-1500.0
8512.02246094;3614;3614.45783133;0.0;-1500.0
8760.49511719;4016;4016.06425703;0.0;-1500.0
9008.34960938;4417;4417.67068273;0.0;-1500.0
9256.82226562;4819;4819.27710843;0.0;-1500.0
9504.67675781;5220;5220.88353414;0.0;-1500.0
9753.14941406;5622;5622.48995984;0.0;-1500.0
10001.6220703;6024;6024.09638554;0.0;-1500.0
10249.4765625;6425;6425.70281124;0.0;-1500.0
10497.9492188;6827;6827.30923695;0.0;-1500.0
10745.8027344;7228;7228.91566265;0.0;-1500.0
10994.2753906;7630;7630.52208835;0.0;-1500.0
11242.7480469;8032;8032.12851406;0.0;-1500.0
11490.6015625;8433;8433.73493976;0.0;-1500.0
11739.0751953;8835;8835.34136546;0.0;-1500.0
11986.9296875;9236;9236.94779116;0.0;-1500.0
12235.4023438;9638;9638.55421687;0.0;-1500.0
12483.875;10040;10040.1606426;0.0;-1500.0
12731.7285156;10441;10441.7670683;0.0;-1500.0
12980.2011719;10843;10843.373494;0.0;-1500.0
13228.0566406;11244;11244.9799197;0.0;-1500.0
13476.5292969;11646;11646.5863454;0.0;-1500.0
13725.0019531;12048;12048.1927711;0.0;-1500.0
13972.8554688;12449;12449.7991968;0.0;-1500.0
14221.328125;12851;12851.4056225;0.0;-1500.0
14469.8007812;13253;13253.0120482;0.0;-1500.0
14705.0615234;13654;13654.6184739;0.0;-1512.59265137
14933.6923828;14056;14056.2248996;0.0;-1532.43457031
15161.7607422;14457;14457.8313253;0.0;-1552.22155762
15390.3916016;14859;14859.437751;0.0;-1572.06347656
15619.0224609;15261;15261.0441767;0.0;-1591.90551758
15847.0908203;15662;15662.6506024;0.0;-1611.69250488
16075.7216797;16064;16064.2570281;0.0;-1631.53442383
16303.7861328;16465;16465.8634538;0.0;-1651.3215332
16532.4726562;16867;16867.4698795;0.0;-1671.10839844
16761.1015625;17269;17269.0763052;0.0;-1690.95031738
16989.1699219;17670;17670.6827309;0.0;-1710.73742676
17217.8007812;18072;18072.2891566;0.0;-1730.57946777
17445.8691406;18473;18473.8955823;0.0;-1750.36645508
17674.5;18875;18875.502008;0.0;-1770.20849609
17903.1308594;19277;19277.1084337;0.0;-1790.05029297
18131.1972656;19678;19678.7148594;0.0;-1809.83740234
18188.4902344;20080;20080.3212851;0.0;-1829.67932129
18568.46875;20481;20481.9277108;0.0;-1849.46643066
18949.3867188;20883;20883.5341365;0.0;-1869.30822754
