revdisp;sali;sali0;sali1;irpp
7535.26367188;0;0.0;0.0;0.0
7783.88378906;401;401.606425703;0.0;0.0
8033.12402344;803;803.212851406;0.0;0.0
8281.74414062;1204;1204.81927711;0.0;0.0
8530.98339844;1606;1606.42570281;0.0;0.0
8780.22363281;2008;2008.03212851;0.0;0.0
9028.84375;2409;2409.63855422;0.0;0.0
9278.08398438;2811;2811.24497992;0.0;0.0
9526.70410156;3212;3212.85140562;0.0;0.0
9775.94335938;3614;3614.45783133;0.0;0.0
10025.1835938;4016;4016.06425703;0.0;0.0
10273.8037109;4417;4417.67068273;0.0;0.0
10523.0439453;4819;4819.27710843;0.0;0.0
10771.6640625;5220;5220.88353414;0.0;0.0
11020.9042969;5622;5622.48995984;0.0;0.0
11270.1435547;6024;6024.09638554;0.0;0.0
11518.7636719;6425;6425.70281124;0.0;0.0
11768.0039062;6827;6827.30923695;0.0;0.0
12016.6230469;7228;7228.91566265;0.0;0.0
12265.8632812;7630;7630.52208835;0.0;0.0
12515.1035156;8032;8032.12851406;0.0;0.0
12763.7226562;8433;8433.73493976;0.0;0.0
13012.9638672;8835;8835.34136546;0.0;0.0
13261.5839844;9236;9236.94779116;0.0;0.0
13510.8242188;9638;9638.55421687;0.0;0.0
13760.0634766;10040;10040.1606426;0.0;0.0
14008.6835938;10441;10441.7670683;0.0;0.0
14257.9238281;10843;10843.373494;0.0;0.0
14506.5439453;11244;11244.9799197;0.0;0.0
14755.7832031;11646;11646.5863454;0.0;0.0
15005.0234375;12048;12048.1927711;0.0;0.0
15253.6425781;12449;12449.7991968;0.0;0.0
15502.8847656;12851;12851.4056225;0.0;0.0
15752.1230469;13253;13253.0120482;0.0;0.0
16000.7441406;13654;13654.6184739;0.0;0.0
16249.984375;14056;14056.2248996;0.0;0.0
16498.6035156;14457;14457.8313253;0.0;0.0
16747.8457031;14859;14859.437751;0.0;0.0
16997.0859375;15261;15261.0441767;0.0;0.0
17245.7070312;15662;15662.6506024;0.0;0.0
17494.9453125;16064;16064.2570281;0.0;0.0
17743.5664062;16465;16465.8634538;0.0;0.0
17992.8046875;16867;16867.4698795;0.0;0.0
18242.046875;17269;17269.0763052;0.0;0.0
18490.6660156;17670;17670.6827309;0.0;0.0
18739.90625;18072;18072.2891566;0.0;0.0
18988.5253906;18473;18473.8955823;0.0;0.0
19237.765625;18875;18875.502008;0.0;0.0
19277.0;19277;19277.1084337;0.0;0.0
19678.0;19678;19678.7148594;0.0;0.0
20080.0;20080;20080.3212851;0.0;0.0
20460.0917969;20481;20481.9277108;0.0;-20.9075012207
20832.2265625;20883;20883.5341365;0.0;-50.7725219727
21204.3632812;21285;21285.1405622;0.0;-80.6374816895
21575.6621094;21686;21686.746988;0.0;-110.337493896
21947.796875;22088;22088.3534137;0.0;-140.202514648
22319.015625;22489;22489.9598394;0.0;-169.984985352
22691.1503906;22891;22891.5662651;0.0;-199.850006104
23063.2851562;23293;23293.1726908;0.0;-229.714996338
23434.5019531;23694;23694.7791165;0.0;-259.497497559
23806.7207031;24096;24096.3855422;0.0;-289.280029297
24177.9375;24497;24497.9919679;0.0;-319.0625
24550.0722656;24899;24899.5983936;0.0;-348.927459717
24922.2070312;25301;25301.2048193;0.0;-378.792510986
25293.4257812;25702;25702.811245;0.0;-408.574981689
25665.5605469;26104;26104.4176707;0.0;-438.440032959
26037.7773438;26506;26506.0240964;0.0;-468.222503662
26379.1601562;26907;26907.6305221;0.0;-527.83996582
26705.140625;27309;27309.2369478;0.0;-603.859985352
27030.328125;27710;27710.8433735;0.0;-679.669555664
27356.3125;28112;28112.4497992;0.0;-755.690429688
27682.2890625;28514;28514.0562249;0.0;-831.710021973
28007.6894531;28915;28915.6626506;0.0;-907.309936523
28333.6699219;29317;29317.2690763;0.0;-983.329956055
28673.2402344;29718;29718.875502;0.0;-1044.76000977
29024.5605469;30120;30120.4819277;0.0;-1095.43994141
29375.8808594;30522;30522.0883534;0.0;-1146.11999512
29726.3417969;30923;30923.6947791;0.0;-1196.66027832
30077.8007812;31325;31325.3012048;0.0;-1247.20031738
30428.2597656;31726;31726.9076305;0.0;-1297.73999023
30779.5839844;32128;32128.5140562;0.0;-1348.42053223
31130.9023438;32530;32530.1204819;0.0;-1399.10058594
31481.3574219;32931;32931.7269076;0.0;-1449.6394043
31832.6757812;33333;33333.3333333;0.0;-1500.31945801
32183.140625;33734;33734.939759;0.0;-1550.85998535
32534.5996094;34136;34136.5461847;0.0;-1601.40002441
32885.921875;34538;34538.1526104;0.0;-1652.07995605
33236.3789062;34939;34939.7590361;0.0;-1702.61999512
33587.6992188;35341;35341.3654618;0.0;-1753.30004883
33938.1601562;35742;35742.9718876;0.0;-1803.83996582
34289.4804688;36144;36144.5783133;0.0;-1854.52001953
34640.9414062;36546;36546.184739;0.0;-1905.06005859
34991.3984375;36947;36947.7911647;0.0;-1955.59997559
35342.71875;37349;37349.3975904;0.0;-2006.2800293
35694.0390625;37751;37751.0040161;0.0;-2056.95996094
36044.5;38152;38152.6104418;0.0;-2107.5
36395.8203125;38554;38554.2168675;0.0;-2158.17993164
36746.421875;38955;38955.8232932;0.0;-2208.58007812
37097.7382812;39357;39357.4297189;0.0;-2259.26000977
37449.0585938;39759;39759.0361446;0.0;-2309.93994141
37799.5195312;40160;40160.6425703;0.0;-2360.47998047
38150.8398438;40562;40562.248996;0.0;-2411.15991211
38501.3007812;40963;40963.8554217;0.0;-2461.69995117
38852.6171875;41365;41365.4618474;0.0;-2512.37939453
39204.078125;41767;41767.0682731;0.0;-2562.91943359
39554.5390625;42168;42168.6746988;0.0;-2613.45996094
39905.859375;42570;42570.2811245;0.0;-2664.13989258
40256.3203125;42971;42971.8875502;0.0;-2714.67993164
40607.640625;43373;43373.4939759;0.0;-2765.36010742
40959.1015625;43775;43775.1004016;0.0;-2815.89990234
41309.5585938;44176;44176.7068273;0.0;-2866.43994141
41660.8789062;44578;44578.313253;0.0;-2917.12011719
42011.3398438;44979;44979.9196787;0.0;-2967.65991211
42362.6601562;45381;45381.5261044;0.0;-3018.34008789
42713.9804688;45783;45783.1325301;0.0;-3069.02001953
43064.4414062;46184;46184.7389558;0.0;-3119.56005859
43415.8984375;46586;46586.3453815;0.0;-3170.10009766
43766.359375;46987;46987.9518072;0.0;-3220.63989258
44117.6835938;47389;47389.5582329;0.0;-3271.32055664
44469.0039062;47791;47791.1646586;0.0;-3322.00048828
44819.4609375;48192;48192.7710843;0.0;-3372.54003906
45170.78125;48594;48594.37751;0.0;-3423.2199707
45521.3789062;48995;48995.9839357;0.0;-3473.62011719
45872.6992188;49397;49397.5903614;0.0;-3524.30004883
46224.0195312;49799;49799.1967871;0.0;-3574.97998047
46574.4804688;50200;50200.8032129;0.0;-3625.52001953
46925.8007812;50602;50602.4096386;0.0;-3676.19995117
47277.1210938;51004;51004.0160643;0.0;-3726.87988281
47627.578125;51405;51405.62249;0.0;-3777.41943359
47979.0390625;51807;51807.2289157;0.0;-3827.95996094
48329.5;52208;52208.8353414;0.0;-3878.5
48680.8203125;52610;52610.4417671;0.0;-3929.17993164
49032.140625;53012;53012.0481928;0.0;-3979.86010742
49382.6015625;53413;53413.6546185;0.0;-4030.39990234
49734.0585938;53815;53815.2610442;0.0;-4080.93994141
50084.5195312;54216;54216.8674699;0.0;-4131.47998047
50435.8398438;54618;54618.4738956;0.0;-4182.16015625
50787.1601562;55020;55020.0803213;0.0;-4232.83984375
51137.6210938;55421;55421.686747;0.0;-4283.37988281
51488.9375;55823;55823.2931727;0.0;-4334.05957031
51839.3984375;56224;56224.8995984;0.0;-4384.59960938
52190.859375;56626;56626.5060241;0.0;-4435.14013672
52542.1796875;57028;57028.1124498;0.0;-4485.81982422
52892.640625;57429;57429.7188755;0.0;-4536.35986328
53243.9609375;57831;57831.3253012;0.0;-4587.04003906
53594.421875;58232;58232.9317269;0.0;-4637.58056641
53945.7382812;58634;58634.5381526;0.0;-4688.25927734
54297.203125;59036;59036.1445783;0.0;-4738.80078125
54610.6992188;59437;59437.751004;0.0;-4826.29980469
54904.1015625;59839;59839.3574297;0.0;-4934.89990234
55196.8007812;60240;60240.9638554;0.0;-5043.20019531
55490.1992188;60642;60642.5702811;0.0;-5151.79980469
55783.6015625;61044;61044.1767068;0.0;-5260.39990234
56076.296875;61445;61445.7831325;0.0;-5368.69873047
56370.0039062;61847;61847.3895582;0.0;-5477.00097656
56662.6953125;62248;62248.9959839;0.0;-5585.29882812
56956.1015625;62650;62650.6024096;0.0;-5693.89990234
57249.4960938;63052;63052.2088353;0.0;-5802.49755859
57542.1992188;63453;63453.815261;0.0;-5910.79980469
57835.8984375;63855;63855.4216867;0.0;-6019.10009766
58129.3007812;64257;64257.0281124;0.0;-6127.70019531
58422.0;64658;64658.6345382;0.0;-6236.0
58715.4023438;65060;65060.2409639;0.0;-6344.60107422
59008.1015625;65461;65461.8473896;0.0;-6452.89990234
59301.4960938;65863;65863.4538153;0.0;-6561.49755859
59594.8984375;66265;66265.060241;0.0;-6670.10009766
59887.8984375;66666;66666.6666667;0.0;-6778.10009766
60181.3007812;67068;67068.2730924;0.0;-6886.70019531
60474.0;67469;67469.8795181;0.0;-6995.0
60767.40625;67871;67871.4859438;0.0;-7103.60253906
61060.8007812;68273;68273.0923695;0.0;-7212.20019531
61353.5;68674;68674.6987952;0.0;-7320.5
61647.1992188;69076;69076.3052209;0.0;-7428.79980469
61939.8984375;69477;69477.9116466;0.0;-7537.10009766
62233.3007812;69879;69879.5180723;0.0;-7645.70019531
62526.6992188;70281;70281.124498;0.0;-7754.29980469
62819.40625;70682;70682.7309237;0.0;-7862.60253906
63112.8007812;71084;71084.3373494;0.0;-7971.20019531
63405.5;71485;71485.9437751;0.0;-8079.5
63699.1992188;71887;71887.5502008;0.0;-8187.79980469
63992.6015625;72289;72289.1566265;0.0;-8296.40039062
64285.3007812;72690;72690.7630522;0.0;-8404.70019531
64578.6953125;73092;73092.3694779;0.0;-8513.29785156
